Feature,VIP,Important
GABA,1.4053091459996183,True
ASP,1.3755048919327957,True
VAL,1.3176860560562613,True
PHE,1.3145493403572326,True
GLN,1.308292981817406,True
ILE,1.1508416701589768,True
GLY,1.145490652671471,True
GLU,1.1196873676710402,True
PRO,1.0816112113448646,True
LEU,0.996945748034977,False
TYR,0.9382003299667779,False
ALA,0.8139099328203958,False
ARG,0.8031630772538827,False
LYS,0.7884835244451726,False
TRP,0.7834014949846037,False
CYS,0.7362762783693918,False
ASN,0.7339805079010615,False
MET,0.67963045017077,False
HIS,0.6692637037586021,False
SER,0.6186566158446161,False
THR,0.3263658875155446,False
